,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0
1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1
2,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0
3,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,0
4,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,1,0
5,1,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1
6,0,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0
7,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0
8,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1,1
9,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0,1
10,1,1,0,0,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1
11,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,1
12,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0
13,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1
14,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1
15,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1
16,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0
17,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0
18,1,0,0,1,1,0,1,1,1,0,0,0,1,1,1,0,1,1,0,0
19,0,1,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0
