,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,1
2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1
3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
4,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
5,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1
6,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
7,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0
8,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1
9,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
10,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
11,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
12,0,1,1,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1
13,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
14,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1
15,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
16,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17,0,1,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0
18,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
19,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
