,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0
1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0
2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1
3,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0
4,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
5,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
6,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1
9,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1
10,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
11,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
12,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
13,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1
15,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
16,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
17,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0
18,0,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1
19,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,1,0
