set,n,result,instance,D,runtime,seed
BBGRL,1000,990,1000_ep0.0075_0_gilbert_7.in,1,67.985,1.50369E+18
BBGRL,1000,982,1000_ep0.0075_0_gilbert_7.in,2,167.3589,1.50369E+18
BBGRL,1000,975,1000_ep0.0075_0_gilbert_7.in,3,167.3918,1.50369E+18
BBGRL,1000,2,1000_ep0.0075_0_gilbert_7.in,4,45.6402,1.50369E+18
BBGRL,1000,1,1000_ep0.0075_0_gilbert_7.in,5,8.2476,1.50369E+18
BBGRL,1000,1,1000_ep0.0075_0_gilbert_7.in,6,8.5441,1.50369E+18
BBGRL,1000,1,1000_ep0.0075_0_gilbert_7.in,7,9.0826,1.50369E+18
BBGRL,1000,1,1000_ep0.0075_0_gilbert_7.in,8,8.4756,1.50369E+18
BBGRL,1000,1,1000_ep0.0075_0_gilbert_7.in,9,8.3095,1.50369E+18
BBGRL,1000,1,1000_ep0.0075_0_gilbert_7.in,10,8.4934,1.50369E+18
BBGRL,1000,992,1000_ep0.0075_0_gilbert_2.in,1,47.9655,1.50369E+18
BBGRL,1000,984,1000_ep0.0075_0_gilbert_2.in,2,122.5243,1.50369E+18
BBGRL,1000,976,1000_ep0.0075_0_gilbert_2.in,3,167.2191,1.50369E+18
BBGRL,1000,969,1000_ep0.0075_0_gilbert_2.in,4,168.4514,1.50369E+18
BBGRL,1000,960,1000_ep0.0075_0_gilbert_2.in,5,167.3499,1.50369E+18
BBGRL,1000,950,1000_ep0.0075_0_gilbert_2.in,6,167.1988,1.50369E+18
BBGRL,1000,3,1000_ep0.0075_0_gilbert_2.in,7,63.4926,1.50369E+18
BBGRL,1000,2,1000_ep0.0075_0_gilbert_2.in,8,26.6008,1.50369E+18
BBGRL,1000,1,1000_ep0.0075_0_gilbert_2.in,9,10.5086,1.50369E+18
BBGRL,1000,1,1000_ep0.0075_0_gilbert_2.in,10,10.6648,1.50369E+18
BBGRL,1000,995,1000_ep0.0125_0_gilbert_3.in,1,51.3734,1.50369E+18
BBGRL,1000,990,1000_ep0.0125_0_gilbert_3.in,2,167.356,1.50369E+18
BBGRL,1000,985,1000_ep0.0125_0_gilbert_3.in,3,167.6686,1.50369E+18
BBGRL,1000,980,1000_ep0.0125_0_gilbert_3.in,4,167.3019,1.50369E+18
BBGRL,1000,974,1000_ep0.0125_0_gilbert_3.in,5,167.2451,1.50369E+18
BBGRL,1000,968,1000_ep0.0125_0_gilbert_3.in,6,167.207,1.50369E+18
BBGRL,1000,961,1000_ep0.0125_0_gilbert_3.in,7,167.9446,1.50369E+18
BBGRL,1000,958,1000_ep0.0125_0_gilbert_3.in,8,167.2437,1.50369E+18
BBGRL,1000,950,1000_ep0.0125_0_gilbert_3.in,9,167.2446,1.50369E+18
BBGRL,1000,945,1000_ep0.0125_0_gilbert_3.in,10,167.2464,1.50369E+18
BBGRL,1000,995,1000_ep0.01_0_gilbert_7.in,1,53.7416,1.50369E+18
BBGRL,1000,990,1000_ep0.01_0_gilbert_7.in,2,167.3386,1.50369E+18
BBGRL,1000,983,1000_ep0.01_0_gilbert_7.in,3,167.1629,1.50369E+18
BBGRL,1000,978,1000_ep0.01_0_gilbert_7.in,4,167.9526,1.50369E+18
BBGRL,1000,973,1000_ep0.01_0_gilbert_7.in,5,167.2545,1.50369E+18
BBGRL,1000,965,1000_ep0.01_0_gilbert_7.in,6,167.1587,1.50369E+18
BBGRL,1000,959,1000_ep0.01_0_gilbert_7.in,7,167.2832,1.50369E+18
BBGRL,1000,954,1000_ep0.01_0_gilbert_7.in,8,167.214,1.50369E+18
BBGRL,1000,946,1000_ep0.01_0_gilbert_7.in,9,167.1407,1.50369E+18
BBGRL,1000,942,1000_ep0.01_0_gilbert_7.in,10,167.412,1.50369E+18
BBGRL,1000,994,1000_ep0.01_0_gilbert_5.in,1,60.411,1.50369E+18
BBGRL,1000,987,1000_ep0.01_0_gilbert_5.in,2,167.1552,1.50369E+18
BBGRL,1000,981,1000_ep0.01_0_gilbert_5.in,3,168.0652,1.5037E+18
BBGRL,1000,978,1000_ep0.01_0_gilbert_5.in,4,170.1581,1.5037E+18
BBGRL,1000,970,1000_ep0.01_0_gilbert_5.in,5,167.2448,1.5037E+18
BBGRL,1000,953,1000_ep0.01_0_gilbert_5.in,6,167.3417,1.5037E+18
BBGRL,1000,1,1000_ep0.01_0_gilbert_5.in,7,11.6982,1.5037E+18
BBGRL,1000,1,1000_ep0.01_0_gilbert_5.in,8,12.1317,1.5037E+18
BBGRL,1000,1,1000_ep0.01_0_gilbert_5.in,9,12.2465,1.5037E+18
BBGRL,1000,1,1000_ep0.01_0_gilbert_5.in,10,11.8315,1.5037E+18
BBGRL,1000,995,1000_ep0.0125_0_gilbert_1.in,1,48.9583,1.5037E+18
BBGRL,1000,990,1000_ep0.0125_0_gilbert_1.in,2,167.3091,1.5037E+18
BBGRL,1000,986,1000_ep0.0125_0_gilbert_1.in,3,167.9407,1.5037E+18
BBGRL,1000,980,1000_ep0.0125_0_gilbert_1.in,4,167.1689,1.5037E+18
BBGRL,1000,976,1000_ep0.0125_0_gilbert_1.in,5,167.4914,1.5037E+18
BBGRL,1000,970,1000_ep0.0125_0_gilbert_1.in,6,167.2307,1.5037E+18
BBGRL,1000,964,1000_ep0.0125_0_gilbert_1.in,7,167.3963,1.5037E+18
BBGRL,1000,959,1000_ep0.0125_0_gilbert_1.in,8,167.3142,1.5037E+18
BBGRL,1000,953,1000_ep0.0125_0_gilbert_1.in,9,167.3311,1.5037E+18
BBGRL,1000,947,1000_ep0.0125_0_gilbert_1.in,10,167.2974,1.5037E+18
BBGRL,1000,995,1000_ep0.0125_0_gilbert_6.in,1,51.1554,1.5037E+18
BBGRL,1000,990,1000_ep0.0125_0_gilbert_6.in,2,167.2471,1.5037E+18
BBGRL,1000,984,1000_ep0.0125_0_gilbert_6.in,3,167.3746,1.5037E+18
BBGRL,1000,980,1000_ep0.0125_0_gilbert_6.in,4,167.2441,1.5037E+18
BBGRL,1000,973,1000_ep0.0125_0_gilbert_6.in,5,167.4958,1.5037E+18
BBGRL,1000,967,1000_ep0.0125_0_gilbert_6.in,6,167.2163,1.5037E+18
BBGRL,1000,962,1000_ep0.0125_0_gilbert_6.in,7,167.3428,1.5037E+18
BBGRL,1000,956,1000_ep0.0125_0_gilbert_6.in,8,167.4769,1.5037E+18
BBGRL,1000,950,1000_ep0.0125_0_gilbert_6.in,9,167.2959,1.5037E+18
BBGRL,1000,3,1000_ep0.0125_0_gilbert_6.in,10,143.3628,1.5037E+18
BBGRL,1000,990,1000_ep0.0075_0_gilbert_1.in,1,58.8599,1.5037E+18
BBGRL,1000,980,1000_ep0.0075_0_gilbert_1.in,2,167.1805,1.5037E+18
BBGRL,1000,976,1000_ep0.0075_0_gilbert_1.in,3,167.8906,1.5037E+18
BBGRL,1000,2,1000_ep0.0075_0_gilbert_1.in,4,45.3635,1.5037E+18
BBGRL,1000,1,1000_ep0.0075_0_gilbert_1.in,5,7.6196,1.5037E+18
BBGRL,1000,1,1000_ep0.0075_0_gilbert_1.in,6,7.7224,1.5037E+18
BBGRL,1000,1,1000_ep0.0075_0_gilbert_1.in,7,8.1352,1.5037E+18
BBGRL,1000,1,1000_ep0.0075_0_gilbert_1.in,8,8.1129,1.5037E+18
BBGRL,1000,1,1000_ep0.0075_0_gilbert_1.in,9,7.7396,1.5037E+18
BBGRL,1000,1,1000_ep0.0075_0_gilbert_1.in,10,7.6565,1.5037E+18
BBGRL,1000,992,1000_ep0.0075_0_gilbert_10.in,1,68.0644,1.5037E+18
BBGRL,1000,983,1000_ep0.0075_0_gilbert_10.in,2,167.1129,1.5037E+18
BBGRL,1000,977,1000_ep0.0075_0_gilbert_10.in,3,167.7194,1.5037E+18
BBGRL,1000,967,1000_ep0.0075_0_gilbert_10.in,4,167.61,1.5037E+18
BBGRL,1000,956,1000_ep0.0075_0_gilbert_10.in,5,167.2391,1.5037E+18
BBGRL,1000,2,1000_ep0.0075_0_gilbert_10.in,6,40.6413,1.5037E+18
BBGRL,1000,1,1000_ep0.0075_0_gilbert_10.in,7,9.1308,1.5037E+18
BBGRL,1000,1,1000_ep0.0075_0_gilbert_10.in,8,8.9631,1.5037E+18
BBGRL,1000,1,1000_ep0.0075_0_gilbert_10.in,9,8.4766,1.5037E+18
BBGRL,1000,1,1000_ep0.0075_0_gilbert_10.in,10,8.8767,1.5037E+18
BBGRL,1000,992,1000_ep0.0075_0_gilbert_3.in,1,56.4105,1.5037E+18
BBGRL,1000,983,1000_ep0.0075_0_gilbert_3.in,2,167.4075,1.5037E+18
BBGRL,1000,975,1000_ep0.0075_0_gilbert_3.in,3,167.2904,1.5037E+18
BBGRL,1000,965,1000_ep0.0075_0_gilbert_3.in,4,167.224,1.5037E+18
BBGRL,1000,960,1000_ep0.0075_0_gilbert_3.in,5,168.1452,1.5037E+18
